probe	gene_hg38	geneType	Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate	gene_hg19	hg19_in_hg38	hg38_in_hg19	different_gene_annotation
cg00034039	ABHD17B;C9orf85	protein_coding	cg00034039	0.0734804093679624	C9orf85;FAM108B1	9	74526266	C9orf85;FAM108B1	FALSE	FALSE	TRUE
cg00035347	NT5C2	protein_coding	cg00035347	NA	NT5C2	10	104953608	NT5C2	TRUE	TRUE	FALSE
cg00035623	UBE2S	protein_coding	cg00035623	0.0385032202947595	UBE2S	19	55919836	UBE2S	TRUE	TRUE	FALSE
cg00037763	SETBP1	protein_coding	cg00037763	0.898522496421749	SETBP1	18	42281763	SETBP1	TRUE	TRUE	FALSE
cg00037940	PIK3CB	protein_coding	cg00037940	0.914154618142829	PIK3CB	3	138479285	PIK3CB	TRUE	TRUE	FALSE
cg00040861	LLfos-48D6.2;LSM7;SPPL2B	protein_coding	cg00040861	0.012845200472145	LSM7;SPPL2B	19	2328391	LSM7;SPPL2B	TRUE	FALSE	TRUE
cg00040873	NDUFB10	protein_coding	cg00040873	0.10969574151346	NDUFB10	16	2009157	NDUFB10	TRUE	TRUE	FALSE
cg00041575	C11orf21;TSPAN32	protein_coding	cg00041575	0.63129539616212	C11orf21;TSPAN32	11	2322741	C11orf21;TSPAN32	TRUE	TRUE	FALSE
cg00042156	CCNYL2;LINC00839	translated_unprocessed_pseudogene;lincRNA	cg00042156	NA	LOC84856	10	42970842	LOC84856	FALSE	FALSE	TRUE
cg00043004	NOXO1;TBL3	protein_coding	cg00043004	0.0287563274080293	NOXO1	16	2030892	NOXO1	TRUE	FALSE	TRUE
cg00043080	C19orf47;PLD3	protein_coding	cg00043080	NA	PLD3;C19orf47	19	40853155	C19orf47;PLD3	TRUE	TRUE	FALSE
cg00044245	EPHA7	protein_coding	cg00044245	0.052295389898099	EPHA7	6	94128889	EPHA7	TRUE	TRUE	FALSE
cg00044729	ENTHD1	protein_coding	cg00044729	NA	ENTHD1	22	40290976	ENTHD1	TRUE	TRUE	FALSE
cg00047050	CUL5	protein_coding	cg00047050	0.0246251329771887	CUL5	11	107879431	CUL5	TRUE	TRUE	FALSE
cg00047469	C9orf43;POLE3	protein_coding	cg00047469	0.0137005429431201	POLE3;C9orf43	9	116172568	C9orf43;POLE3	TRUE	TRUE	FALSE
cg00049986	KIAA0391;PPP2R3C	protein_coding	cg00049986	0.164610278241667	NA	NA	0	NA	TRUE	FALSE	TRUE
cg00050312	PRKCA	protein_coding	cg00050312	0.0161528639852367	PRKCA	17	64299065	PRKCA	TRUE	TRUE	FALSE
cg00051623	CASP1	protein_coding	cg00051623	NA	CASP1	11	104907029	CASP1	TRUE	TRUE	FALSE
cg00051979	FRA10AC1	protein_coding	cg00051979	0.023986250050615	C10orf4	10	95462161	C10orf4	FALSE	FALSE	TRUE
cg00053292	TACO1	protein_coding	cg00053292	0.0186281650865277	TACO1	17	61678300	TACO1	TRUE	TRUE	FALSE
cg00053647	CCZ1B	protein_coding	cg00053647	0.0651792721074879	C7orf28B	7	6866072	C7orf28B	FALSE	FALSE	TRUE
cg00054706	C1D	protein_coding	cg00054706	0.0157785354839491	C1D	2	68289972	C1D	TRUE	TRUE	FALSE
cg00055233	RLN1	protein_coding	cg00055233	0.221114515926897	RLN1	9	5339677	RLN1	TRUE	TRUE	FALSE
cg00056767	AL512506.1;CCDC122;LACC1;RP11-5G9.5	miRNA;protein_coding;sense_intronic	cg00056767	0.016138213653834	CCDC122;C13orf31	13	44453183	C13orf31;CCDC122	FALSE	FALSE	TRUE
cg00057593	GML;RP11-706C16.5	protein_coding;antisense	cg00057593	NA	GML	8	143916959	GML	TRUE	FALSE	TRUE
cg00058938	TTC9B	protein_coding	cg00058938	NA	TTC9B	19	40724733	TTC9B	TRUE	TRUE	FALSE
cg00059225	GLRA1	protein_coding	cg00059225	0.667226870442562	GLRA1	5	151304357	GLRA1	TRUE	TRUE	FALSE
cg00059424	PES1	protein_coding	cg00059424	0.020297364683384	PES1	22	30988148	PES1	TRUE	TRUE	FALSE
cg00059740	C7orf49	protein_coding	cg00059740	0.0117877697182969	C7orf49	7	134855689	C7orf49	TRUE	TRUE	FALSE
cg00059930	PPP1R26P1;RB1	processed_pseudogene;protein_coding	cg00059930	0.840239067491106	RB1	13	48894382	RB1	TRUE	FALSE	TRUE
cg00060762	LEO1;MAPK6	protein_coding	cg00060762	0.0177750133534826	LEO1	15	52264133	LEO1	TRUE	FALSE	TRUE
cg00060882	EIF2S3	protein_coding	cg00060882	0.113319812495885	EIF2S3	X	24072811	EIF2S3	TRUE	TRUE	FALSE
cg00061059	DNAJB1;TECR	protein_coding	cg00061059	0.0321535974259772	TECR	19	14640983	TECR	TRUE	FALSE	TRUE
cg00061629	ALX4	protein_coding	cg00061629	0.747901562692566	ALX4	11	44325258	ALX4	TRUE	TRUE	FALSE
cg00062776	NUCB1;TULP2	protein_coding	cg00062776	0.935117226572591	TULP2	19	49402424	TULP2	TRUE	FALSE	TRUE
cg00063144	KRT31;KRT33B	protein_coding	cg00063144	0.881628101653371	KRT31	17	39554055	KRT31	TRUE	FALSE	TRUE
cg00065385	ACTL7A	protein_coding	cg00065385	0.960511173742032	ACTL7A	9	111623395	ACTL7A	TRUE	TRUE	FALSE
cg00065408	CACNB3	protein_coding	cg00065408	0.0123226062203106	CACNB3	12	49212475	CACNB3	TRUE	TRUE	FALSE
cg00066153	ACRV1	protein_coding	cg00066153	0.96114575306497	ACRV1	11	125550744	ACRV1	TRUE	TRUE	FALSE
cg00066816	AC008697.1;IL12B	lincRNA;protein_coding	cg00066816	0.141532192854545	IL12B	5	158758353	IL12B	TRUE	FALSE	TRUE
cg00067471	ATP5D	protein_coding	cg00067471	0.0459305971518312	ATP5D	19	1241377	ATP5D	TRUE	TRUE	FALSE
cg00069261	CDR2;RP11-21M24.2	protein_coding;antisense	cg00069261	0.0155274020295896	CDR2	16	22386531	CDR2	TRUE	FALSE	TRUE
cg00071250	FASLG	protein_coding	cg00071250	0.663673630655053	FASLG	1	172628263	FASLG	TRUE	TRUE	FALSE
cg00071998	CLIC1;MSH5;MSH5-SAPCD1	protein_coding	cg00071998	0.0259518706225281	MSH5	6	31708121	MSH5	TRUE	FALSE	TRUE
cg00072216	MXD4	protein_coding	cg00072216	0.0107797473851427	MXD4	4	2263638	MXD4	TRUE	TRUE	FALSE
cg00073650	GALNS;TRAPPC2L	protein_coding	cg00073650	NA	GALNS;TRAPPC2L	16	88922166	GALNS;TRAPPC2L	TRUE	TRUE	FALSE
cg00075967	RP11-60L3.1;STRA6	antisense;protein_coding	cg00075967	0.802114740633013	STRA6	15	74495354	STRA6	TRUE	FALSE	TRUE
cg00076645	UBTD2	protein_coding	cg00076645	0.0173852010319424	UBTD2	5	171711562	UBTD2	TRUE	TRUE	FALSE
cg00077457	GEMIN8P4;ZNF326	processed_pseudogene;protein_coding	cg00077457	NA	ZNF326;LOC492303	1	90460000	LOC492303;ZNF326	FALSE	FALSE	TRUE
cg00077877	ASAP1	protein_coding	cg00077877	0.604027260011923	ASAP1	8	131414474	ASAP1	TRUE	TRUE	FALSE
cg00078194	MDK	protein_coding	cg00078194	0.0128383071802835	MDK	11	46402949	MDK	TRUE	TRUE	FALSE
cg00078867	WAS	protein_coding	cg00078867	0.641342200261667	WAS	X	48542398	WAS	TRUE	TRUE	FALSE
cg00079056	SPINK4	protein_coding	cg00079056	NA	SUGT1P1;SPINK4	9	33239641	SPINK4;SUGT1P1	FALSE	TRUE	TRUE
cg00079563	ARFGAP3;PACSIN2	protein_coding	cg00079563	0.0223634170110275	ARFGAP3	22	43253521	ARFGAP3	TRUE	FALSE	TRUE
cg00080012	EED	protein_coding	cg00080012	0.0102132257748489	EED	11	85955689	EED	TRUE	TRUE	FALSE
cg00081935	TSPAN9	protein_coding	cg00081935	0.132915061418757	TSPAN9	12	3186906	TSPAN9	TRUE	TRUE	FALSE
cg00081975	ABCC3	protein_coding	cg00081975	0.0366478866319681	ABCC3	17	48712370	ABCC3	TRUE	TRUE	FALSE
cg00083720	BFSP1;DSTN	protein_coding	cg00083720	0.00883728686348496	NA	NA	0	NA	TRUE	FALSE	TRUE
cg00083937	CHKB;MAPK8IP2	protein_coding	cg00083937	0.770286506599884	MAPK8IP2	22	51039805	MAPK8IP2	TRUE	FALSE	TRUE
cg00084687	GATAD1	protein_coding	cg00084687	0.0095781391593069	GATAD1	7	92076896	GATAD1	TRUE	TRUE	FALSE
cg00089071	CTB-58E17.5;PCGF2	antisense;protein_coding	cg00089071	0.0101513831847061	PCGF2	17	36905809	PCGF2	TRUE	FALSE	TRUE
cg00090147	GATA4	protein_coding	cg00090147	0.680706971833224	GATA4	8	11562367	GATA4	TRUE	TRUE	FALSE
cg00091693	KRT20	protein_coding	cg00091693	0.273669310756793	KRT20	17	39041602	KRT20	TRUE	TRUE	FALSE
cg00093177	LRRC37A11P	transcribed_unprocessed_pseudogene	cg00093177	0.89508686469081	NA	17	37185495	NA	TRUE	FALSE	TRUE
cg00094319	PABPC3	protein_coding	cg00094319	0.872698279011239	PABPC3	13	25670530	PABPC3	TRUE	TRUE	FALSE
cg00094851	KIF3C	protein_coding	cg00094851	0.0821257821136918	KIF3C	2	26205706	KIF3C	TRUE	TRUE	FALSE
cg00095526	CACNA1S	protein_coding	cg00095526	0.758810467328198	CACNA1S	1	201081686	CACNA1S	TRUE	TRUE	FALSE
cg00095674	PLEKHO1	protein_coding	cg00095674	0.0635987996480302	PLEKHO1	1	150122654	PLEKHO1	TRUE	TRUE	FALSE
cg00096922	DLX5	protein_coding	cg00096922	0.147811864708679	DLX5	7	96654185	DLX5	TRUE	TRUE	FALSE
cg00097536	LINC01126;ZFP36L2	lincRNA;protein_coding	cg00097536	0.0118711784361485	ZFP36L2;LOC100129726	2	43454476	LOC100129726;ZFP36L2	FALSE	FALSE	TRUE
cg00098162	NA	.	cg00098162	NA	NA	10	90619573	NA	TRUE	TRUE	FALSE
cg00098239	CTD-2207O23.10;PNPLA6	protein_coding	cg00098239	0.0130763984684791	PNPLA6	19	7599173	PNPLA6	TRUE	FALSE	TRUE
cg00099550	HNRNPF	protein_coding	cg00099550	0.0175187793260019	NA	NA	0	NA	TRUE	FALSE	TRUE
cg00101227	MPZ	protein_coding	cg00101227	0.847211769825388	MPZ	1	161280266	MPZ	TRUE	TRUE	FALSE
cg00103783	AC113189.5;MPDU1	antisense;protein_coding	cg00103783	0.0116473944594855	MPDU1	17	7487249	MPDU1	TRUE	FALSE	TRUE
cg00105253	NUDT14;RP11-44N21.4	protein_coding;processed_transcript	cg00105253	0.0264005201123577	NUDT14	14	105647194	NUDT14	TRUE	FALSE	TRUE
cg00105470	C1orf35	protein_coding	cg00105470	0.0238177161327318	C1orf35	1	228290868	C1orf35	TRUE	TRUE	FALSE
cg00107187	TMEM179	protein_coding	cg00107187	0.625305825599706	TMEM179	14	105070998	TMEM179	TRUE	TRUE	FALSE
cg00107488	COMT;TXNRD2	protein_coding	cg00107488	NA	COMT;TXNRD2	22	19930437	COMT;TXNRD2	TRUE	TRUE	FALSE
cg00107632	PGM2	protein_coding	cg00107632	0.00821399793048286	PGM2	4	37828500	PGM2	TRUE	TRUE	FALSE
cg00108454	C1QA	protein_coding	cg00108454	0.269845762243993	C1QA	1	22963614	C1QA	TRUE	TRUE	FALSE
cg00109274	DGKH	protein_coding	cg00109274	0.0567694300716392	DGKH	13	42623032	DGKH	TRUE	TRUE	FALSE
cg00112517	PPP1R1B	protein_coding	cg00112517	0.283532335747012	PPP1R1B	17	37783011	PPP1R1B	TRUE	TRUE	FALSE
cg00113020	LILRB1;LILRB4	protein_coding	cg00113020	NA	LILRB4	19	55173482	LILRB4	TRUE	FALSE	TRUE
cg00113951	CABP1;RP11-728G15.1	protein_coding;antisense	cg00113951	0.106090960640442	CABP1	12	121078090	CABP1	TRUE	FALSE	TRUE
cg00115714	AMD1	protein_coding	cg00115714	0.022626800338412	AMD1	6	111196112	AMD1	TRUE	TRUE	FALSE
cg00116234	ADAMTSL1	protein_coding	cg00116234	0.56859094506069	ADAMTSL1	9	18474243	ADAMTSL1	TRUE	TRUE	FALSE
cg00116838	PPM1N;RTN2	protein_coding	cg00116838	0.119832438254459	RTN2;FLJ40125	19	46001746	FLJ40125;RTN2	FALSE	FALSE	TRUE
cg00117172	RUNX3	protein_coding	cg00117172	0.366909618922499	RUNX3	1	25255838	RUNX3	TRUE	TRUE	FALSE
cg00119079	LAMP3	protein_coding	cg00119079	0.0399904756168926	LAMP3	3	182880278	LAMP3	TRUE	TRUE	FALSE
cg00121158	KDM4C	protein_coding	cg00121158	0.0103032102716709	KDM4C	9	6757826	KDM4C	TRUE	TRUE	FALSE
cg00121640	ASTN2	protein_coding	cg00121640	0.428349496591538	ASTN2	9	120176515	ASTN2	TRUE	TRUE	FALSE
cg00121904	MAOB	protein_coding	cg00121904	0.0485638317430446	MAOB	X	43741826	MAOB	TRUE	TRUE	FALSE
cg00123035	RFX5;RP11-126K1.6	protein_coding;antisense	cg00123035	0.0282993905584262	RFX5	1	151319538	RFX5	TRUE	FALSE	TRUE
cg00126034	WNT3	protein_coding	cg00126034	0.0362481785608086	WNT3	17	44896162	WNT3	TRUE	TRUE	FALSE
cg00126657	SSX6	transcribed_unprocessed_pseudogene	cg00126657	0.645970312097917	SSX6	X	47967250	SSX6	TRUE	TRUE	FALSE
cg00126698	BTK	protein_coding	cg00126698	0.829830060410067	BTK	X	100640503	BTK	TRUE	TRUE	FALSE
cg00128197	HSD17B10;RP3-339A18.6	protein_coding;antisense	cg00128197	0.0426809130586723	HSD17B10	X	53461455	HSD17B10	TRUE	FALSE	TRUE
cg00128560	TIGD7	protein_coding	cg00128560	0.950440387868561	TIGD7	16	3352013	TIGD7	TRUE	TRUE	FALSE
cg00128654	NRDE2	protein_coding	cg00128654	0.0132510209727483	C14orf102	14	90798063	C14orf102	FALSE	FALSE	TRUE
cg00128766	EFCAB14	protein_coding	cg00128766	NA	KIAA0494	1	47185216	KIAA0494	FALSE	FALSE	TRUE
cg00128877	MKNK1	protein_coding	cg00128877	0.0386167567609188	MKNK1	1	47070178	MKNK1	TRUE	TRUE	FALSE
cg00129774	CDK2;PMEL	protein_coding	cg00129774	0.0191573204527569	CDK2;SILV	12	56360414	CDK2;SILV	FALSE	FALSE	TRUE
cg00131121	AC093668.2;POLR2J	miRNA;protein_coding	cg00131121	0.0191729215249107	POLR2J	7	102119710	POLR2J	TRUE	FALSE	TRUE
cg00131557	DNAJC15	protein_coding	cg00131557	0.950982702267688	DNAJC15	13	43596656	DNAJC15	TRUE	TRUE	FALSE
cg00132141	CTNNA3	protein_coding	cg00132141	0.352417035908804	CTNNA3	10	69456307	CTNNA3	TRUE	TRUE	FALSE
cg00133909	CD276	protein_coding	cg00133909	0.0526896027625451	CD276	15	73977201	CD276	TRUE	TRUE	FALSE
cg00134539	UBASH3A	protein_coding	cg00134539	0.887505421830045	UBASH3A	21	43824071	UBASH3A	TRUE	TRUE	FALSE
cg00134787	MYH1;MYHAS;RP11-799N11.1	protein_coding;antisense	cg00134787	0.593918310145667	MYH1	17	10419499	MYH1	TRUE	FALSE	TRUE
cg00135056	HMCES	protein_coding	cg00135056	0.0918437784144942	C3orf37	3	128997295	C3orf37	FALSE	FALSE	TRUE
cg00135393	FGG	protein_coding	cg00135393	0.558516035719389	NA	NA	0	NA	TRUE	FALSE	TRUE
cg00136105	GNPTAB	protein_coding	cg00136105	0.0130872000061803	GNPTAB	12	102224911	GNPTAB	TRUE	TRUE	FALSE
cg00136405	IL21;IL21-AS1	protein_coding;antisense	cg00136405	0.111149582018416	IL21	4	123542198	IL21	TRUE	FALSE	TRUE
cg00136477	C1QC	protein_coding	cg00136477	0.469259667405306	C1QC	1	22970339	C1QC	TRUE	TRUE	FALSE
cg00136736	THOC5	protein_coding	cg00136736	NA	THOC5	22	29949905	THOC5	TRUE	TRUE	FALSE
cg00138126	PMEPA1;RP5-1059L7.1	protein_coding;antisense	cg00138126	0.786862306493894	PMEPA1	20	56286697	PMEPA1	TRUE	FALSE	TRUE
cg00141162	HCLS1	protein_coding	cg00141162	0.39201093237035	HCLS1	3	121379777	HCLS1	TRUE	TRUE	FALSE
cg00141550	CCNB3	protein_coding	cg00141550	0.889926929080852	NA	NA	0	NA	TRUE	FALSE	TRUE
cg00141845	UPRT	protein_coding	cg00141845	0.082526919841487	UPRT	X	74493352	UPRT	TRUE	TRUE	FALSE
cg00143376	NMUR1	protein_coding	cg00143376	0.625647714753497	NMUR1	2	232394702	NMUR1	TRUE	TRUE	FALSE
cg00143998	HIST3H2A;HIST3H2BB	protein_coding	cg00143998	0.0206655031844032	HIST3H2A;HIST3H2BB	1	228645859	HIST3H2A;HIST3H2BB	TRUE	TRUE	FALSE
cg00145118	GNPDA1	protein_coding	cg00145118	0.203602366645007	GNPDA1	5	141393931	GNPDA1	TRUE	TRUE	FALSE
cg00145348	APEX2	protein_coding	cg00145348	0.118839946033056	APEX2	X	55026862	APEX2	TRUE	TRUE	FALSE
cg00146096	FANCF;GAS2	protein_coding	cg00146096	0.0108282158893766	FANCF	11	22647309	FANCF	TRUE	FALSE	TRUE
cg00149659	BRK1	protein_coding	cg00149659	0.0213018606909205	C3orf10	3	10157352	C3orf10	FALSE	FALSE	TRUE
cg00149976	MGLL	protein_coding	cg00149976	0.0139095172515033	MGLL	3	127541529	MGLL	TRUE	TRUE	FALSE
cg00151234	PGK1	protein_coding	cg00151234	0.0487626145666099	PGK1	X	77359363	PGK1	TRUE	TRUE	FALSE
cg00151607	GALNS;TRAPPC2L	protein_coding	cg00151607	0.0128444286797119	TRAPPC2L;GALNS	16	88923507	GALNS;TRAPPC2L	TRUE	TRUE	FALSE
cg00152644	SPRR2E	protein_coding	cg00152644	0.908014892170131	SPRR2E	1	153068236	SPRR2E	TRUE	TRUE	FALSE
cg00155167	RP11-410L14.2;VPS13B	lincRNA;protein_coding	cg00155167	0.0154263865869712	VPS13B	8	100025831	VPS13B	TRUE	FALSE	TRUE
cg00155485	MED13L	protein_coding	cg00155485	0.0188182665977575	MED13L	12	116714600	MED13L	TRUE	TRUE	FALSE
cg00155609	CTD-2659N19.10;HOOK2;PRDX2	antisense;protein_coding	cg00155609	0.038989231712740297	PRDX2	19	12912527	PRDX2	TRUE	FALSE	TRUE
cg00156216	APLP2	protein_coding	cg00156216	0.014094639243671001	APLP2	11	129939849	APLP2	TRUE	TRUE	FALSE
cg00156744	STK10	protein_coding	cg00156744	0.019262789583836	STK10	5	171615663	STK10	TRUE	TRUE	FALSE
cg00158308	OXGR1	protein_coding	cg00158308	0.0268360327455774	OXGR1	13	97646341	OXGR1	TRUE	TRUE	FALSE
cg00160914	DDX20;FAM212B	protein_coding	cg00160914	0.0592430087428331	DDX20;C1orf183	1	112299263	C1orf183;DDX20	FALSE	FALSE	TRUE
cg00162401	GSTA4;RN7SK	protein_coding;misc_RNA	cg00162401	0.0321333689964019	GSTA4	6	52859823	GSTA4	TRUE	FALSE	TRUE
cg00162643	DDX58	protein_coding	cg00162643	0.0234291375566295	DDX58	9	32526492	DDX58	TRUE	TRUE	FALSE
cg00164041	HERC5	protein_coding	cg00164041	0.0186674608847926	NA	NA	0	NA	TRUE	FALSE	TRUE
cg00164898	MAPK11	protein_coding	cg00164898	0.0135947718659099	MAPK11	22	50709127	MAPK11	TRUE	TRUE	FALSE
cg00165981	COL4A3BP;POLK	protein_coding	cg00165981	0.0279720278933875	COL4A3BP;POLK	5	74808039	COL4A3BP;POLK	TRUE	TRUE	FALSE
cg00167504	BLVRA	protein_coding	cg00167504	0.0172171671582495	BLVRA	7	43798622	BLVRA	TRUE	TRUE	FALSE
cg00168082	ABL1	protein_coding	cg00168082	0.021868830292651	ABL1	9	133589177	ABL1	TRUE	TRUE	FALSE
cg00168785	WDSUB1	protein_coding	cg00168785	0.0542061201081071	WDSUB1	2	160142643	WDSUB1	TRUE	TRUE	FALSE
cg00168942	GJD4	protein_coding	cg00168942	0.493388827239991	GJD4	10	35894430	GJD4	TRUE	TRUE	FALSE
cg00169548	BAZ1A;RP11-73E17.2	protein_coding;antisense	cg00169548	0.605269224923944	NA	NA	0	NA	TRUE	FALSE	TRUE
cg00171126	WRB	protein_coding	cg00171126	0.0312194762145398	WRB	21	40752522	WRB	TRUE	TRUE	FALSE
cg00171161	NUDT9	protein_coding	cg00171161	0.0311796141898767	NUDT9	4	88343636	NUDT9	TRUE	TRUE	FALSE
cg00174500	CMTM5	protein_coding	cg00174500	0.419624072511242	CMTM5	14	23846479	CMTM5	TRUE	TRUE	FALSE
cg00174901	PALM	protein_coding	cg00174901	0.334275701161155	PALM	19	709889	PALM	TRUE	TRUE	FALSE
cg00176210	ANK1	protein_coding	cg00176210	0.408994657213556	ANK1	8	41654967	ANK1	TRUE	TRUE	FALSE
cg00176879	PTPRA;VPS16	protein_coding	cg00176879	0.993357736435479	VPS16;PTPRA	20	2843525	PTPRA;VPS16	TRUE	TRUE	FALSE
cg00177013	ARFRP1;RP4-583P15.15;ZGPAT	protein_coding	cg00177013	0.0618726599568879	ARFRP1;ZGPAT	20	62339100	ARFRP1;ZGPAT	TRUE	FALSE	TRUE
cg00177698	PNPO;SP2-AS1	protein_coding;antisense	cg00177698	0.0244123913464254	PNPO	17	46018875	PNPO	TRUE	FALSE	TRUE
cg00177923	LEPROTL1	protein_coding	cg00177923	0.0115758587624401	LEPROTL1	8	29952655	LEPROTL1	TRUE	TRUE	FALSE
cg00178790	FAM210A;RNMT	protein_coding	cg00178790	NA	C18orf19;RNMT	18	13726864	C18orf19;RNMT	FALSE	FALSE	TRUE
cg00179446	UPF3B	protein_coding	cg00179446	0.0525363090302786	UPF3B	X	118986947	UPF3B	TRUE	TRUE	FALSE
