Hybridization REF	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05
cg00037763	0.898522496421749	SETBP1	18	42281763
cg00037940	0.914154618142829	PIK3CB	3	138479285
cg00040861	0.012845200472145	LSM7;SPPL2B	19	2328391
cg00040873	0.10969574151346	NDUFB10	16	2009157
cg00041575	0.63129539616212	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0287563274080293	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.052295389898099	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0246251329771887	CUL5	11	107879431
cg00047469	0.0137005429431201	POLE3;C9orf43	9	116172568
cg00049986	0.164610278241667	NA	NA	0
cg00050312	0.0161528639852367	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.023986250050615	C10orf4	10	95462161
cg00053292	0.0186281650865277	TACO1	17	61678300
cg00053647	0.0651792721074879	C7orf28B	7	6866072
cg00054706	0.0157785354839491	C1D	2	68289972
cg00055233	0.221114515926897	RLN1	9	5339677
cg00056767	0.016138213653834	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.667226870442562	GLRA1	5	151304357
cg00059424	0.020297364683384	PES1	22	30988148
cg00059740	0.0117877697182969	C7orf49	7	134855689
cg00059930	0.840239067491106	RB1	13	48894382
cg00060762	0.0177750133534826	LEO1	15	52264133
cg00060882	0.113319812495885	EIF2S3	X	24072811
cg00061059	0.0321535974259772	TECR	19	14640983
cg00061629	0.747901562692566	ALX4	11	44325258
cg00062776	0.935117226572591	TULP2	19	49402424
cg00063144	0.881628101653371	KRT31	17	39554055
cg00065385	0.960511173742032	ACTL7A	9	111623395
cg00065408	0.0123226062203106	CACNB3	12	49212475
cg00066153	0.96114575306497	ACRV1	11	125550744
cg00066816	0.141532192854545	IL12B	5	158758353
cg00067471	0.0459305971518312	ATP5D	19	1241377
cg00069261	0.0155274020295896	CDR2	16	22386531
cg00071250	0.663673630655053	FASLG	1	172628263
cg00071998	0.0259518706225281	MSH5	6	31708121
cg00072216	0.0107797473851427	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.802114740633013	STRA6	15	74495354
cg00076645	0.0173852010319424	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.604027260011923	ASAP1	8	131414474
cg00078194	0.0128383071802835	MDK	11	46402949
cg00078867	0.641342200261667	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0223634170110275	ARFGAP3	22	43253521
cg00080012	0.0102132257748489	EED	11	85955689
cg00081935	0.132915061418757	TSPAN9	12	3186906
cg00081975	0.0366478866319681	ABCC3	17	48712370
cg00083720	0.00883728686348496	NA	NA	0
cg00083937	0.770286506599884	MAPK8IP2	22	51039805
cg00084687	0.0095781391593069	GATAD1	7	92076896
cg00089071	0.0101513831847061	PCGF2	17	36905809
cg00090147	0.680706971833224	GATA4	8	11562367
cg00091693	0.273669310756793	KRT20	17	39041602
cg00093177	0.89508686469081		17	37185495
cg00094319	0.872698279011239	PABPC3	13	25670530
cg00094851	0.0821257821136918	KIF3C	2	26205706
cg00095526	0.758810467328198	CACNA1S	1	201081686
cg00095674	0.0635987996480302	PLEKHO1	1	150122654
cg00096922	0.147811864708679	DLX5	7	96654185
cg00097536	0.0118711784361485	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0130763984684791	PNPLA6	19	7599173
cg00099550	0.0175187793260019	NA	NA	0
cg00101227	0.847211769825388	MPZ	1	161280266
cg00103783	0.0116473944594855	MPDU1	17	7487249
cg00105253	0.0264005201123577	NUDT14	14	105647194
cg00105470	0.0238177161327318	C1orf35	1	228290868
cg00107187	0.625305825599706	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.00821399793048286	PGM2	4	37828500
cg00108454	0.269845762243993	C1QA	1	22963614
cg00109274	0.0567694300716392	DGKH	13	42623032
cg00112517	0.283532335747012	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.106090960640442	CABP1	12	121078090
cg00115714	0.022626800338412	AMD1	6	111196112
cg00116234	0.56859094506069	ADAMTSL1	9	18474243
cg00116838	0.119832438254459	RTN2;FLJ40125	19	46001746
cg00117172	0.366909618922499	RUNX3	1	25255838
cg00119079	0.0399904756168926	LAMP3	3	182880278
cg00121158	0.0103032102716709	KDM4C	9	6757826
cg00121640	0.428349496591538	ASTN2	9	120176515
cg00121904	0.0485638317430446	MAOB	X	43741826
cg00123035	0.0282993905584262	RFX5	1	151319538
cg00126034	0.0362481785608086	WNT3	17	44896162
cg00126657	0.645970312097917	SSX6	X	47967250
cg00126698	0.829830060410067	BTK	X	100640503
cg00128197	0.0426809130586723	HSD17B10	X	53461455
cg00128560	0.950440387868561	TIGD7	16	3352013
cg00128654	0.0132510209727483	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0386167567609188	MKNK1	1	47070178
cg00129774	0.0191573204527569	CDK2;SILV	12	56360414
cg00131121	0.0191729215249107	POLR2J	7	102119710
cg00131557	0.950982702267688	DNAJC15	13	43596656
cg00132141	0.352417035908804	CTNNA3	10	69456307
cg00133909	0.0526896027625451	CD276	15	73977201
cg00134539	0.887505421830045	UBASH3A	21	43824071
cg00134787	0.593918310145667	MYH1	17	10419499
cg00135056	0.0918437784144942	C3orf37	3	128997295
cg00135393	0.558516035719389	NA	NA	0
cg00136105	0.0130872000061803	GNPTAB	12	102224911
cg00136405	0.111149582018416	IL21	4	123542198
cg00136477	0.469259667405306	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.786862306493894	PMEPA1	20	56286697
cg00141162	0.39201093237035	HCLS1	3	121379777
cg00141550	0.889926929080852	NA	NA	0
cg00141845	0.082526919841487	UPRT	X	74493352
cg00143376	0.625647714753497	NMUR1	2	232394702
cg00143998	0.0206655031844032	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.203602366645007	GNPDA1	5	141393931
cg00145348	0.118839946033056	APEX2	X	55026862
cg00146096	0.0108282158893766	FANCF	11	22647309
cg00149659	0.0213018606909205	C3orf10	3	10157352
cg00149976	0.0139095172515033	MGLL	3	127541529
cg00151234	0.0487626145666099	PGK1	X	77359363
cg00151607	0.0128444286797119	TRAPPC2L;GALNS	16	88923507
cg00152644	0.908014892170131	SPRR2E	1	153068236
cg00155167	0.0154263865869712	VPS13B	8	100025831
cg00155485	0.0188182665977575	MED13L	12	116714600
cg00155609	0.0389892317127403	PRDX2	19	12912527
cg00156216	0.014094639243671	APLP2	11	129939849
cg00156744	0.019262789583836	STK10	5	171615663
cg00158308	0.0268360327455774	OXGR1	13	97646341
cg00160914	0.0592430087428331	DDX20;C1orf183	1	112299263
cg00162401	0.0321333689964019	GSTA4	6	52859823
cg00162643	0.0234291375566295	DDX58	9	32526492
cg00164041	0.0186674608847926	NA	NA	0
cg00164898	0.0135947718659099	MAPK11	22	50709127
cg00165981	0.0279720278933875	COL4A3BP;POLK	5	74808039
cg00167504	0.0172171671582495	BLVRA	7	43798622
cg00168082	0.021868830292651	ABL1	9	133589177
cg00168785	0.0542061201081071	WDSUB1	2	160142643
cg00168942	0.493388827239991	GJD4	10	35894430
cg00169548	0.605269224923944	NA	NA	0
cg00171126	0.0312194762145398	WRB	21	40752522
cg00171161	0.0311796141898767	NUDT9	4	88343636
cg00174500	0.419624072511242	CMTM5	14	23846479
cg00174901	0.334275701161155	PALM	19	709889
cg00176210	0.408994657213556	ANK1	8	41654967
cg00176879	0.993357736435479	VPS16;PTPRA	20	2843525
cg00177013	0.0618726599568879	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0244123913464254	PNPO	17	46018875
cg00177923	0.0115758587624401	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0525363090302786	UPF3B	X	118986947
cg00180012	0.0202822061714163	LACE1	6	108615929
cg00180631	0.181876877426254	MTM1	X	149736640
cg00182461	0.0327675804318223	NA	NA	0
cg00183782	0.837587014526279	NA	NA	0
cg00183916	0.181590416538348	HS3ST3B1	17	14204936
cg00184884	0.0107508426733485	SFI1	22	31892343
cg00184893	0.0117252685959096	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0165423430220672	LRDD	11	804954
cg00186141	0.0100646873276292	PODXL	7	131241768
cg00186701	0.777357059398216	TSPYL5	8	98290510
cg00186954	0.841717282773707	ST5;C11orf17	11	8933980
cg00187380	0.0250457697053223	HOXC4;HOXC5	12	54427384
cg00187686	0.140581118731546	TCN1	11	59634218
cg00188348	0.657916897702158	NA	NA	0
cg00191052	0.113578446377857	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.011995128779897	FAM53C	5	137673669
cg00197641	0.0170528124291609	MRPL52	14	23299461
cg00199549	0.95582319773272	MCM5	22	35795374
cg00200063	0.0120437496803947	USP32	17	58469941
cg00201234	0.45421127545417	FBLN2	3	13590968
cg00202702	0.0129277789111728	C11orf70	11	101918157
cg00202711	0.781786538943143	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0218289252278035	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0191902939991095	KIAA0174	16	71929512
cg00208830	0.381656566113238	LAMC2	1	183154778
cg00208967	0.538206877698441	OLFM2	19	10047924
cg00209066	0.923449146619238	BRD1	22	50218923
cg00209951	0.0577434361167512	DENND2C	1	115212834
cg00210842	0.0305177428586186	APAF1;IKBIP	12	99039578
cg00211661	0.0183403018596235	ARAP1	11	72433619
cg00212549	0.0473969357184873	NA	NA	0
cg00213044	0.70524600485882	KRT6A	12	52886438
cg00213331	0.939310728259979	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.013386406511013	NA	NA	0
cg00214794	0.588038801817991	NA	NA	0
cg00214855	0.148641644317633	CCDC90A	6	13813947
cg00215066	0.971454433500137	MYO9B	19	17212316
cg00216361	0.0215927001350326	GAP43	3	115342527
cg00216758	0.0168153326179524	RASSF7;C11orf35	11	560589
cg00217795	0.606706065915829	DIO2	14	80677688
cg00221494	0.083609474456764	FARP1	13	98794593
cg00223186	0.0189266645124359	ACBD6	1	180472200
cg00223950	0.018504215781279	UBR4	1	19536222
cg00224234	0.00901312712479895	GLOD4;RNMTL1	17	685693
cg00224508	0.0100680166279856	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.799296774479245	FGD2	6	36972027
cg00228799	0.0145399735262412	ENDOG	9	131580591
cg00229387	0.185177820354408	TJAP1	6	43445942
cg00230271	0.0308752606514764	TBCK;AIMP1	4	107237183
cg00230368	0.016143349758852	IGF2R	6	160389833
cg00230502	0.0337763969220103	CCDC60	12	119772381
cg00230685	0.139092547962599	SCML1	X	17755839
cg00231140	0.0126396023321276	ACAA2;SCARNA17	18	47339702
cg00231644	0.255586818868353	TUBB2A	6	3158512
cg00231920	0.0144460403049642	VPS16;FAM113A	20	2821308
cg00233307	0.606751791189552	MAP4K1;EIF3K	19	39109076
cg00234616	0.443846770576772	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0434174995608635	RARA	17	38465489
cg00237010	0.681311885253428	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.949964640016276	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.124007567386018	TTC21A;GORASP1	3	39148342
cg00240312	0.0462325728737778	NA	NA	0
cg00240432	0.456694295900816	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.012414861345469	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.651588399639476	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.143057591000766	CR2	1	207628182
cg00250430	0.694063883744261	DMRT2	9	1051579
cg00253200	0.0153611962471069	C3orf59	3	192636074
cg00256074	0.931913542759568	MYLPF	16	30386150
cg00256166	0.0155614710748509	KLHL25	15	86338428
cg00256281	0.0182344459618654	PMM1	22	41985642
cg00259755	0.0751784450439756	PWWP2B	10	134209763
cg00260778	0.332229881683468	NA	NA	0
cg00261552	0.0227178737243547	CREBL2	12	12764894
cg00261781	0.0192815388551397	MATN3	2	20212517
cg00262415	0.0161700587179519	PUSL1;ACAP3	1	1242732
cg00263723	0.0125124388236302	NA	NA	0
cg00263760	0.249301107478423	VAX1	10	118897366
cg00265415	0.00866973708678353	B3GALNT2	1	235667507
cg00265490	0.0317681395354281	MTDH	8	98655845
cg00268009	0.0109140474899092	ADH5	4	100010211
cg00268338	0.0101556814428389	HECTD2;LOC100188947	10	93169495
cg00269115	0.0161846502467784	C1orf213;ZNF436	1	23695530
cg00269932	0.966904639096425	NA	NA	0
cg00273068	0.538413606944577	EMILIN3	20	39995747
cg00273124	0.462213040952731	NHP2	5	177581512
cg00274399	0.0229730473480729	FGF9	13	22245420
cg00275232	0.0210425625582983	ZNF296	19	45579541
cg00276797	0.0189860547713038	SLK	10	105726614
cg00278366	0.517714186574037	RAD9B;VPS29	12	110940287
cg00279797	0.0239181224317741	AMMECR1	X	109561918
cg00280814	0.834463723066685	ZDHHC8P	22	23745389
cg00280894	0.318948503337846	NA	NA	0
cg00282347	0.0377435903635238	CHD5	1	6241040
cg00282683	0.0114671995326679	UBE3C	7	156931995
cg00283535	0.172104557979853	ANXA13	8	124749564
cg00288562	0.012457412899072	TRA2A	7	23571645
cg00290028	0.00897285929930968	RFXAP	13	37393125
cg00290506	0.580541510432716	CNIH3	1	224804226
cg00291877	0.0289069681511419	SNRPA1	15	101835933
cg00292662	0.0134298835012055	LGALS1	22	38071168
cg00292971	0.917554154132868	FAM131B	7	143060536
cg00293409	0.104519788222891	LRRC33	3	196366669
cg00294382	0.427831336278269	IL23A	12	56732721
cg00295206	0.0170424688300968	RAB7A	3	128444813
cg00295325	0.808212190998641	ABCB11	2	169887932
cg00296685	0.0143305262949665	NA	NA	0
cg00297584	0.0316986865181392	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.651012929277514	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.00902293109063913	PPP3CA	4	102268125
cg00303548	0.0223560848551568	HS6ST3	13	96742413
cg00304278	0.0266928752301525	NA	NA	0
cg00307685	0.922037629538983	BRDT	1	92415524
cg00308133	0.0841541042535904	GAMT	19	1401118
cg00308665	0.116713125337467	HTR2A	13	47469654
cg00309056	0.0149027463310593	STARD3NL	7	38218112
cg00309204	0.0212458681761756	C17orf61	17	7307432
cg00311768	0.239292615624579	TSTA3	8	144698857
cg00312919	0.00839476890025396	STARD3NL	7	38217710
cg00314943	0.884692552158882	ALPPL2	2	233270750
cg00315936	0.028826455202944	SND1	7	127292739
cg00317680	0.0762401598830312	MTERFD1;PTDSS1	8	97274070
cg00318573	0.535192570656259	CHRNA4	20	61993118
cg00318865	0.0109163927803	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00758098074098231	PKMYT1	16	3030447
cg00320243	0.0112632442726591	RAB3A	19	18314691
cg00321065	0.021288284453378	RLF	1	40627063
cg00321478	0.657080103982384	CRB1	1	197238398
cg00323915	0.559494586161874	GIMAP4	7	150264987
cg00324733	0.0133071134802553	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0509603016489992	DLAT	11	111896498
cg00327483	0.970493385275824	CASQ1	1	160160587
cg00328227	0.299975426741553	C1orf59	1	109204325
cg00331237	0.0321081874625998	CSRP2	12	77273319
cg00331433	0.0169151908770906	SYAP1	X	16737800
cg00332153	0.374862584670415	BANK1	4	102712010
cg00332745	0.0141371392775798	NOL3	16	67208247
cg00333226	0.588256420509552	VWC2	7	49813763
cg00333528	0.368609464549475	GABRR1	6	89927485
cg00334507	0.77157843400066	PRRT2	16	29824599
cg00335286	0.807824484555206	MC2R	18	13916355
cg00336605	0.0239772906560596	NR1H2	19	50879437
cg00338702	0.632513446983406	CHFR	12	133463694
cg00338893	0.0175293265429384	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.718210390297357	GARNL3	9	130027020
cg00343092	0.0166057821823789	TSPO	22	43547974
cg00344358	0.943309097355147	GDF11	12	56135693
cg00344372	0.589497098834851	HGFAC	4	3443625
cg00344709	0.922935866021057	POTED	21	14982225
cg00346145	0.0340691089462988	RPL34;LOC285456	4	109541559
cg00347729	0.189376785028025	MMP10	11	102651753
cg00347904	0.641880247910978	SCUBE3	6	35182508
cg00350296	0.54795689903086	CD248	11	66084841
cg00350478	0.326390787553816	FRMD1	6	168480013
cg00350702	0.0121620914696726	ERGIC3	20	34129927
cg00351011	0.0698188133231796	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.874060643748706	ZIM2	19	57306738
cg00354572	0.572490170630703	ACSS3	12	81471419
cg00355802	0.0278930371801924	DUSP4	8	29208983
cg00359325	0.0236941565842519	USP4	3	49377419
cg00359973	0.0237648912816645	RIBC1;SMC1A	X	53449900
cg00363813	0.67440796555957	IFFO1	12	6664872
cg00364344	0.0120559116537135	NA	NA	0
cg00364814	0.910334771342097	R3HDM2	12	57691455
cg00365193	0.218155076291066	NA	NA	0
cg00367281	0.356080597776452	CHRNB3	8	42552470
cg00367438	0.0233552007302584	TMUB1	7	150780797
cg00368022	0.014925507707655	C5orf22;RNASEN	5	31532653
cg00368415	0.0110144287147863	SNX27	1	151584398
cg00371195	0.962863558993226	F2	11	46740481
cg00374717	0.929325219402248	ARSG	17	66303145
cg00375964	0.018310240566522	ABCE1;ANAPC10	4	146019130
cg00376639	0.0678001552954957	ZNF581	19	56155151
cg00380464	0.0144576050956684	LTV1	6	144164650
cg00381076	0.0401784200813988	C18orf54	18	51884797
cg00382515	0.0119737359314921	MRPL44	2	224822229
cg00382991	0.0393951847509391	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.17421521334145	TGFBI	5	135364970
cg00387170	0.0193849349517249	FOXP4	6	41514002
cg00392257	0.362552838051698	ISG20L2	1	156696747
cg00393585	0.603877266381188	C4orf39;TRIM61	4	165878091
cg00394658	0.607153194806794	PTPRJ	11	48001669
cg00396163	0.019700692420137	DNAH6	2	84743584
cg00396894	0.645174244383426	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0354171157053611	PPOX	1	161136321
cg00398048	0.0723921733632901	AGA	4	178364342
cg00399483	0.659131912878726	DCC	18	49868378
cg00400028	0.400975374253236	NA	NA	0
cg00400263	0.989528006677627	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.015172306178994	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.411428181148578	TSC22D3	X	107018431
cg00405070	0.0233150931991279	ERP29;TMEM116	12	112450647
cg00405568	0.0184088091938653	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.683321684280066	RFPL3	22	32753939
cg00407150	0.713991208779061	HHATL	3	42743794
cg00410419	0.0152908338043261	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0779882073016595	STC1	8	23712355
cg00410921	0.150408005658444	NA	NA	0
cg00411097	0.250184555285837	TMEM184A	7	1596050
cg00412772	0.460826832494306	YIF1B;C19orf33	19	38794845
cg00412805	0.938342134101484	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0290400871275174	NA	NA	0
cg00415494	0.845816500078373	NA	NA	0
cg00415978	0.0682440484049082	SYNPO2	4	119809925
cg00415993	0.762750481848406	F2RL2;IQGAP2	5	75919188
cg00417297	0.0149059647273295	ZNF619	3	40518742
cg00418150	0.577027881039306	ALX4	11	44327869
cg00419564	0.0289188539128104	S100A6	1	153508860
cg00420568	0.0310897497068528	SHC3	9	91794904
cg00420715	0.0080103437815952	VPS13B	8	100025364
cg00420929	0.370460942831334	PGPEP1	19	18451112
cg00422913	0.0228410730706037	C17orf91;WDR81	17	1619022
cg00424946	0.012789065681477	SNTB2	16	69221172
cg00425710	0.791150431394258	MT1A	16	56672671
cg00425792	0.030968704833257	PEX12	17	33905503
cg00426056	0.0131406784032271	CUTA	6	33385896
cg00426498	0.382847416048172	MYO18A	17	27507667
cg00426963	0.0163574754815808	KIF27	9	86535755
cg00427635	0.467896273188411	TBC1D21	15	74166372
cg00429618	0.22782716814521	ZNF322B	9	99962350
cg00430287	0.423163673384617	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.333979840384556	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.645587692615778	MGP	12	15039025
cg00432979	0.0155257276562906	MRP63;SKA3	13	21750473
cg00433406	0.88296378022652	VWA5B1	1	20616975
cg00434413	0.980027080299115	RENBP;NAA10	X	153201653
cg00435408	0.0289946781071317	FAM192A;RSPRY1	16	57220662
cg00436282	0.912981628502878	STATH	4	70861449
cg00436301	0.0149705713202282	NT5DC1	6	116421736
cg00436603	0.696945758853134	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00732858323717119	STOML1	15	74284481
cg00443307	0.772036041200051	KLRG1	12	9141740
cg00445824	0.408034454544067	ISYNA1	19	18548929
cg00446235	0.041959049766703	TSTD1	1	161008644
cg00447208	0.630228717213693	TMC8;TMC6	17	76126301
cg00448720	0.694653811776711	C1QTNF9	13	24883014
cg00449941	0.0154051386742931	SPAG5	17	26926011
cg00451635	0.222723014767626	EMP2	16	10675030
cg00453193	0.0187081932556461	TES	7	115851050
cg00453258	0.784931869217626	CALHM1	10	105219172
cg00459975	0.014112376641472	INTS9;HMBOX1	8	28749099
cg00461841	0.892057194131605	ATF7IP2	16	10523485
cg00462311	0.0465245725010047	NFATC4	14	24837184
cg00462994	0.105121083771948	NAGS;PYY	17	42081955
cg00463202	0.887699402883703	ADPRHL1	13	114107710
cg00463577	0.097321816347517	C6orf150	6	74161911
cg00463848	0.824629958264131	KRT2	12	53046105
cg00464269	0.0116958742350045	TNFAIP1;IFT20	17	26662842
cg00465284	0.323249694056536	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0111888236638112	NA	NA	0
cg00466249	0.145529795852073	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0116044794465165	C14orf101	14	57046243
cg00468146	0.35584534789097	ID4	6	19838211
cg00469635	0.0101906776654428	PPME1;C2CD3	11	73882471
cg00471562	0.00925972418164792	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.524559687187779	ADAMTS1	21	28217676
cg00474004	0.461125805135604	IFNA14	9	21239944
cg00474209	0.0347699866513426	DLL1	6	170600060
cg00475955	0.00896236815827045	C9orf114	9	131592049
cg00476577	0.0800451637633166	NA	NA	0
cg00476580	0.0119493722306226	ANP32E	1	150207583
cg00479269	0.0201037949384779	C2orf29	2	101869975
cg00480115	0.343166784241493	FXYD3	19	35606877
cg00480209	0.0101657218982858	SCO1;C17orf48	17	10600689
cg00480356	0.0665304953672473	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0136138001358287	DDX41	5	176943504
cg00485296	0.00639166733347073	NME3	16	1821559
cg00485380	0.0159381773893762	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0171874509193002	SOCS1	16	11349568
cg00488300	0.846642140482505	NA	NA	0
cg00488364	0.871391472366267	IL13RA2	X	114253315
cg00488718	0.0156785421605718	MFSD8;C4orf29	4	128887044
cg00489401	0.757347672939518	FLT4	5	180075875
cg00491404	0.423732347504335	EPS8L3	1	110306591
cg00491839	0.0365731018219051	PPP1R15A	19	49375640
cg00493400	0.010279014401008	STAT1	2	191879127
cg00495415	0.0185137899376583	SP1	12	53773795
cg00495442	0.0183468469384953	RALGAPB	20	37101172
cg00495491	0.745594323087071	NA	NA	0
cg00496170	0.0107016826350872	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.91666485265815	PPEF1	X	18709116
cg00497251	0.0244015940520585	RNPEPL1	2	241508725
cg00498305	0.39563807240545	SLC18A2	10	119000236
cg00498604	0.271322612510757	TLL1	4	166793789
cg00499599	0.0193986977334016	C21orf57;MCM3AP	21	47706392
cg00499822	0.694674425544197	CXCL12	10	44881551
cg00500400	0.0215803732137816	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0160035182512534	ZDHHC14	6	157801893
cg00503458	0.0434290010328293	KIAA0907	1	155904439
